episode,calc_reward_mean,calc_reward_sum,steps,orig_reward_mean,orig_reward_sum,max_progress,on_track_ratio,final_status
205,0.2989,17.04,57,0.8247,47.009,28.5379,0.8421,off_track
206,0.1145,5.039,44,0.8638,38.005,16.5964,0.8864,off_track
207,0.277,50.131,181,0.9558,173.007,95.5035,0.9669,off_track
208,0.2743,29.077,106,0.9434,100.005,53.0815,0.9528,off_track
209,0.1646,19.097,116,0.8794,102.013,60.1625,0.8966,off_track
210,0.2807,14.036,50,0.8601,43.006,26.4441,0.88,off_track
211,0.2876,35.087,122,0.959,117.004,71.7526,0.9672,off_track
212,0.2063,15.058,73,0.9042,66.006,35.4105,0.9315,off_track
213,0.3919,45.07,115,0.8697,100.014,66.0018,0.8783,off_track
214,0.4006,22.033,55,0.8547,47.007,29.5112,0.8727,off_track
215,0.2113,20.075,95,0.9474,90.004,52.2628,0.9579,off_track
216,0.2374,31.1,131,0.9085,119.011,67.4492,0.916,off_track
217,0.2674,24.066,90,0.9223,83.006,46.237,0.9333,off_track
218,0.3041,27.062,89,0.9102,81.007,49.5383,0.9213,off_track
219,0.1865,13.057,70,0.9144,64.005,37.5134,0.9286,off_track
