episode,steps,X,Y,progress,reward,calculated_reward,all_wheels_on_track,episode_status
160,1.0,3.1999579972538386,0.6832034978296938,0.7918248405448816,0.0,0.001,True,prepare
160,2.0,3.1998382152765976,0.6830598317187878,0.7911458648197583,1.0,0.001,True,in_progress
160,3.0,3.204457264340917,0.6830000235405249,0.8172274762304408,1.0,0.001,True,in_progress
160,4.0,3.222512063014958,0.6847204405250382,0.91919514118553,1.0,0.001,True,in_progress
160,5.0,3.254114062287742,0.6884445173285182,1.0976771592573942,1.0,0.001,True,in_progress
160,6.0,3.295322306956278,0.6919725642174361,1.3304019210836389,1.0,0.001,True,in_progress
160,7.0,3.3594091779938013,0.700486940535617,1.6922370197774366,1.0,0.001,True,in_progress
160,8.0,3.4317700500712376,0.7058176247501743,2.100851678840127,1.0,0.001,True,in_progress
160,9.0,3.503610579350276,0.7093309268091835,2.506525466872152,1.0,0.001,True,in_progress
160,10.0,3.590387103098527,0.7190426727709438,2.9965772055805795,1.0,0.001,True,in_progress
160,11.0,3.6660732667703786,0.7290044796631799,3.4239780790777026,1.0,0.001,True,in_progress
160,12.0,3.739915653469662,0.7380818524228143,3.840970056942695,1.0,0.001,True,in_progress
160,13.0,3.834246232130415,0.7331766310223763,4.373617894103477,1.0,0.001,True,in_progress
160,14.0,3.931670388137093,0.7204414388082414,4.92372712313914,1.0,0.001,True,in_progress
160,15.0,4.046933976978307,0.6968064088709136,5.574550533784525,1.0,0.001,True,in_progress
160,16.0,4.159353638483818,0.6746743926344207,6.209317584166855,1.0,0.001,True,in_progress
160,17.0,4.308304032705699,0.6500248702946002,7.05035958372132,1.0,0.001,True,in_progress
160,18.0,4.405881562203881,0.6339561494712351,7.601327265903812,1.0,0.001,True,in_progress
160,19.0,4.503834974491232,0.6204599699128609,8.154424127519773,1.0,0.001,True,in_progress
160,20.0,4.605310625232408,0.6112939118005722,8.727413035530928,1.0,0.001,True,in_progress
160,21.0,4.701461186961201,0.6008781705746715,9.270333932040453,1.0,0.001,True,in_progress
160,22.0,4.81819537025402,0.5969371757921101,9.929491357019891,1.0,0.001,True,in_progress
