iteration,episode,step,waypoint,is_left_of_center,original_reward,calculated_reward,progress,all_wheels_on_track,reward_zone
8,161,4.0,7,True,1.0,0.001,1.0434295096413138,True,no_reward_zone
8,161,5.0,7,True,1.0,0.001,1.3020749971166534,True,no_reward_zone
8,161,6.0,8,True,1.0,0.001,1.6000607251467027,True,no_reward_zone
8,161,7.0,8,True,1.0,0.001,1.9752886264807188,True,no_reward_zone
8,161,8.0,9,True,1.0,0.001,2.3710113391491525,True,no_reward_zone
8,161,9.0,9,True,1.0,0.001,2.796917689824004,True,no_reward_zone
8,161,10.0,10,True,1.0,0.001,3.279744433119306,True,no_reward_zone
8,161,11.0,10,True,1.0,0.001,3.873039263495015,True,no_reward_zone
8,161,12.0,11,True,1.0,0.001,4.525692044449444,True,no_reward_zone
8,161,13.0,12,True,1.0,0.001,5.1226994078365005,True,no_reward_zone
8,161,14.0,13,True,1.0,0.001,5.726061865760229,True,no_reward_zone
8,161,15.0,13,True,1.0,0.001,6.340887627811104,True,no_reward_zone
8,161,16.0,14,True,1.0,0.001,7.183875652663824,True,no_reward_zone
8,161,17.0,15,False,1.0,0.001,7.96251928027054,True,no_reward_zone
8,161,18.0,16,False,1.0,0.001,8.734745408659274,True,no_reward_zone
8,161,19.0,17,False,1.0,0.001,9.439246381395916,True,no_reward_zone
8,161,20.0,18,False,1.0,0.001,10.280574441531968,True,no_reward_zone
8,161,21.0,19,False,1.0,0.001,10.943340888340604,True,no_reward_zone
8,161,22.0,20,False,1.0,0.001,11.672763625372616,True,no_reward_zone
8,161,23.0,21,False,1.0,0.001,12.372395337777531,True,no_reward_zone
8,161,24.0,21,False,1.0,0.001,13.09258959842548,True,no_reward_zone
8,161,25.0,22,False,1.0,0.001,13.724987575539505,True,left_reward_zone
8,161,26.0,23,True,1.0,1.0,14.358901154879778,True,left_reward_zone
8,161,27.0,24,True,1.0,1.0,15.047737372558368,True,left_reward_zone
8,161,28.0,25,True,1.0,1.0,15.798490444616052,True,left_reward_zone
8,161,29.0,25,True,1.0,1.0,16.40341570396214,True,left_reward_zone
8,161,30.0,26,True,1.0,1.0,17.064171608887424,True,left_reward_zone
8,161,31.0,27,True,1.0,1.0,17.58954667092487,True,left_reward_zone
8,161,32.0,27,True,1.0,1.0,18.16290430824849,True,left_reward_zone
8,161,33.0,28,True,1.0,1.0,18.572976382538624,True,left_reward_zone
8,161,34.0,28,True,1.0,1.0,18.982180160781137,True,left_reward_zone
8,161,35.0,29,True,1.0,1.0,19.39518478140695,True,left_reward_zone
8,161,36.0,29,True,1.0,1.0,19.869658458827335,True,left_reward_zone
8,161,37.0,30,True,1.0,1.0,20.33995938853632,True,left_reward_zone
8,161,38.0,30,True,1.0,1.0,20.78430983712436,True,left_reward_zone
8,161,39.0,31,True,1.0,1.0,21.167884624610185,True,left_reward_zone
8,161,40.0,31,True,1.0,1.0,21.6071093854792,True,left_reward_zone
8,161,41.0,32,True,1.0,1.0,22.056233875798693,True,left_reward_zone
8,161,42.0,32,True,1.0,1.0,22.33121342416625,True,left_reward_zone
8,161,43.0,33,True,1.0,1.0,22.705603346097796,True,left_reward_zone
8,161,44.0,33,True,1.0,1.0,23.00780475875254,True,left_reward_zone
8,161,45.0,33,True,1.0,1.0,23.371095551793037,True,left_reward_zone
8,161,46.0,34,True,1.0,1.0,23.75113938877672,True,left_reward_zone
8,161,47.0,34,True,0.001,1.0,23.99442554713144,True,left_reward_zone
8,161,48.0,35,True,0.001,1.0,24.45533489614943,False,left_reward_zone
8,161,49.0,35,True,0.001,1.0,24.657348187022276,False,left_reward_zone
8,161,50.0,35,True,0.001,1.0,25.023462482300054,False,left_reward_zone
8,161,51.0,36,True,0.001,1.0,25.456165435606003,False,left_reward_zone
8,161,52.0,36,True,0.001,1.0,25.50352487228194,False,left_reward_zone
8,162,1.0,13,True,0.0,0.001,0.7924181663404806,True,no_reward_zone
8,162,2.0,13,True,1.0,0.001,0.7934824253715195,True,no_reward_zone
8,162,3.0,13,True,1.0,0.001,0.8844110105965184,True,no_reward_zone
8,162,4.0,13,True,1.0,0.001,1.0492986635896164,True,no_reward_zone
8,162,5.0,13,True,1.0,0.001,1.3223608142232055,True,no_reward_zone
8,162,6.0,14,True,1.0,0.001,1.642899622602846,True,no_reward_zone
8,162,7.0,14,True,1.0,0.001,2.1081066131937027,True,no_reward_zone
8,162,8.0,15,True,1.0,0.001,2.581434433045265,True,no_reward_zone
8,162,9.0,16,True,1.0,0.001,3.146714884047133,True,no_reward_zone
8,162,10.0,16,True,1.0,0.001,3.751946999934222,True,no_reward_zone
8,162,11.0,17,True,1.0,0.001,4.625398152607795,True,no_reward_zone
8,162,12.0,18,True,1.0,0.001,5.372764290529272,True,no_reward_zone
8,162,13.0,19,True,1.0,0.001,6.13131399123186,True,no_reward_zone
8,162,14.0,20,True,1.0,0.001,7.052794563919432,True,no_reward_zone
8,162,15.0,21,True,1.0,0.001,7.808556241995817,True,no_reward_zone
8,162,16.0,22,True,1.0,1.0,8.5804204273235,True,left_reward_zone
8,162,17.0,23,True,1.0,1.0,9.293773952122471,True,left_reward_zone
8,162,18.0,24,True,1.0,1.0,9.910296732796745,True,left_reward_zone
8,162,19.0,24,True,1.0,1.0,10.553778159886754,True,left_reward_zone
8,162,20.0,25,True,1.0,1.0,11.056914960437991,True,left_reward_zone
8,162,21.0,26,True,1.0,1.0,11.583885670658333,True,left_reward_zone
8,162,22.0,26,True,1.0,1.0,12.208472413816809,True,left_reward_zone
8,162,23.0,27,True,1.0,1.0,12.72156108696402,True,left_reward_zone
8,162,24.0,28,True,1.0,1.0,13.259769763324076,True,left_reward_zone
8,162,25.0,28,True,1.0,1.0,13.729632691159985,True,left_reward_zone
8,162,26.0,29,True,1.0,1.0,14.169915245038435,True,left_reward_zone
8,162,27.0,29,True,1.0,1.0,14.64832542203288,True,left_reward_zone
